county_fips,county,state,PCT_obese_adults_2008,PCT_obese_adults_2013,PCT_obese_adults_average,PCT_obese_adults_change
1001,Autauga,AL,31.5,34.1,32.8,2.6
1003,Baldwin,AL,26.2,27.4,26.8,1.2
1005,Barbour,AL,37.6,44.4,41.0,6.8
1007,Bibb,AL,32.3,40.3,36.3,8.0
1009,Blount,AL,31.9,34.6,33.25,2.7
1011,Bullock,AL,37.8,43.0,40.4,5.2
1013,Butler,AL,36.8,36.3,36.55,-0.5
1015,Calhoun,AL,33.5,32.2,32.85,-1.3
1017,Chambers,AL,35.5,39.7,37.6,4.2
1019,Cherokee,AL,31.5,33.6,32.55,2.1
1021,Chilton,AL,34.8,35.9,35.35,1.1
1023,Choctaw,AL,36.5,40.8,38.65,4.3
1025,Clarke,AL,36.0,38.2,37.1,2.2
1027,Clay,AL,32.2,37.3,34.75,5.1
1029,Cleburne,AL,28.8,30.0,29.4,1.2
1031,Coffee,AL,32.7,33.7,33.2,1.0
1033,Colbert,AL,34.7,37.5,36.1,2.8
1035,Conecuh,AL,32.1,36.4,34.25,4.3
1037,Coosa,AL,33.2,39.7,36.45,6.5
1039,Covington,AL,33.8,34.0,33.9,0.2
1041,Crenshaw,AL,33.6,39.7,36.65,6.1
1043,Cullman,AL,30.1,33.4,31.75,3.3
1045,Dale,AL,34.4,36.5,35.45,2.1
1047,Dallas,AL,39.9,40.8,40.35,0.9
1049,DeKalb,AL,31.7,30.4,31.05,-1.3
1051,Elmore,AL,29.0,35.4,32.2,6.4
1053,Escambia,AL,34.4,37.7,36.05,3.3
1055,Etowah,AL,30.8,35.1,32.95,4.3
1057,Fayette,AL,32.3,33.7,33.0,1.4
1059,Franklin,AL,29.5,33.2,31.35,3.7
1061,Geneva,AL,32.0,34.1,33.05,2.1
1063,Greene,AL,43.7,46.3,45.0,2.6
1065,Hale,AL,40.2,40.4,40.3,0.2
1067,Henry,AL,33.8,35.8,34.8,2.0
1069,Houston,AL,33.2,32.8,33.0,-0.4
1071,Jackson,AL,31.6,32.0,31.8,0.4
1073,Jefferson,AL,31.4,33.2,32.3,1.8
1075,Lamar,AL,30.8,33.6,32.2,2.8
1077,Lauderdale,AL,29.1,32.9,31.0,3.8
1079,Lawrence,AL,32.8,35.5,34.15,2.7
1081,Lee,AL,30.1,29.0,29.55,-1.1
1083,Limestone,AL,29.1,32.9,31.0,3.8
1085,Lowndes,AL,40.6,45.1,42.85,4.5
1087,Macon,AL,40.0,44.7,42.35,4.7
1089,Madison,AL,30.6,32.3,31.45,1.7
1091,Marengo,AL,37.6,40.3,38.95,2.7
1093,Marion,AL,28.6,35.5,32.05,6.9
1095,Marshall,AL,26.5,33.2,29.85,6.7
1097,Mobile,AL,30.3,37.1,33.7,6.8
1099,Monroe,AL,35.4,35.3,35.35,-0.1
1101,Montgomery,AL,34.0,34.8,34.4,0.8
1103,Morgan,AL,34.8,31.6,33.2,-3.2
1105,Perry,AL,40.7,43.0,41.85,2.3
1107,Pickens,AL,34.8,36.4,35.6,1.6
1109,Pike,AL,35.1,38.4,36.75,3.3
1111,Randolph,AL,31.9,30.9,31.4,-1.0
1113,Russell,AL,36.7,36.4,36.55,-0.3
1115,St. Clair,AL,33.7,33.0,33.35,-0.7
1117,Shelby,AL,28.4,30.1,29.25,1.7
1119,Sumter,AL,40.8,40.3,40.55,-0.5
1121,Talladega,AL,34.0,39.0,36.5,5.0
1123,Tallapoosa,AL,33.9,36.9,35.4,3.0
1125,Tuscaloosa,AL,33.1,34.3,33.7,1.2
1127,Walker,AL,33.1,33.2,33.15,0.1
1129,Washington,AL,34.9,40.2,37.55,5.3
1131,Wilcox,AL,40.8,44.9,42.85,4.1
1133,Winston,AL,29.3,30.2,29.75,0.9
2013,Aleutians East,AK,28.4,33.4,30.9,5.0
2016,Aleutians West,AK,30.0,39.4,34.7,9.4
2020,Anchorage,AK,26.5,27.0,26.75,0.5
2050,Bethel,AK,31.9,30.3,31.1,-1.6
2060,Bristol Bay,AK,32.6,39.7,36.15,7.1
2068,Denali,AK,29.8,27.0,28.4,-2.8
2070,Dillingham,AK,38.5,38.0,38.25,-0.5
2090,Fairbanks North Star,AK,25.5,28.1,26.8,2.6
2100,Haines,AK,29.4,25.5,27.45,-3.9
2105,Hoonah-Angoon,AK,,31.8,,
2110,Juneau,AK,26.7,28.6,27.65,1.9
2122,Kenai Peninsula,AK,29.9,28.4,29.15,-1.5
2130,Ketchikan Gateway,AK,34.0,30.8,32.4,-3.2
2150,Kodiak Island,AK,26.2,30.2,28.2,4.0
2164,Lake and Peninsula,AK,34.3,31.9,33.1,-2.4
2170,Matanuska-Susitna,AK,27.9,30.2,29.05,2.3
2180,Nome,AK,33.0,31.7,32.35,-1.3
2185,North Slope,AK,37.7,36.5,37.1,-1.2
2188,Northwest Arctic,AK,31.3,32.4,31.85,1.1
2195,Petersburg,AK,,30.5,,
2198,Prince of Wales-Hyder,AK,,35.2,,
2220,Sitka,AK,30.5,28.7,29.6,-1.8
2230,Skagway,AK,,28.1,,
2240,Southeast Fairbanks,AK,31.4,33.1,32.25,1.7
2261,Valdez-Cordova,AK,32.9,30.4,31.65,-2.5
2270,Wade Hampton,AK,32.5,32.6,32.55,0.1
2275,Wrangell,AK,,30.6,,
2282,Yakutat,AK,29.2,31.3,30.25,2.1
2290,Yukon-Koyukuk,AK,32.2,28.3,30.25,-3.9
4001,Apache,AZ,31.7,35.2,33.45,3.5
4003,Cochise,AZ,23.3,26.0,24.65,2.7
4005,Coconino,AZ,20.8,23.2,22.0,2.4
4007,Gila,AZ,25.8,27.5,26.65,1.7
4009,Graham,AZ,30.1,32.5,31.3,2.4
4011,Greenlee,AZ,32.8,34.7,33.75,1.9
4012,La Paz,AZ,28.6,32.0,30.3,3.4
4013,Maricopa,AZ,23.1,25.4,24.25,2.3
4015,Mohave,AZ,27.0,29.6,28.3,2.6
4017,Navajo,AZ,27.6,30.9,29.25,3.3
4019,Pima,AZ,23.5,24.2,23.85,0.7
4021,Pinal,AZ,29.0,31.6,30.3,2.6
4023,Santa Cruz,AZ,21.0,23.0,22.0,2.0
4025,Yavapai,AZ,20.1,25.3,22.7,5.2
4027,Yuma,AZ,26.6,30.5,28.55,3.9
5001,Arkansas,AR,34.8,33.8,34.3,-1.0
5003,Ashley,AR,35.7,42.1,38.9,6.4
5005,Baxter,AR,26.6,32.3,29.45,5.7
5007,Benton,AR,28.0,30.1,29.05,2.1
5009,Boone,AR,28.2,33.9,31.05,5.7
5011,Bradley,AR,32.2,39.0,35.6,6.8
5013,Calhoun,AR,32.2,34.2,33.2,2.0
5015,Carroll,AR,25.5,35.8,30.65,10.3
5017,Chicot,AR,35.8,43.1,39.45,7.3
5019,Clark,AR,31.3,34.3,32.8,3.0
5021,Clay,AR,30.8,33.7,32.25,2.9
5023,Cleburne,AR,28.4,31.8,30.1,3.4
5025,Cleveland,AR,31.7,35.7,33.7,4.0
5027,Columbia,AR,31.8,36.4,34.1,4.6
5029,Conway,AR,29.5,39.7,34.6,10.2
5031,Craighead,AR,31.9,36.4,34.15,4.5
5033,Crawford,AR,30.1,35.1,32.6,5.0
