bucket_range,bucket_size,county_fips
%[10-12[,0,
%[12-14[,36,"8013, 8037, 8107, 8117, 35049, 56039"
%[14-16[,30,"8051, 8067, 8097, 36061, 49043"
%[16-18[,85,"6041, 6075, 8007, 8015, 8031, 8035, 8045, 8049, 8065, 8069, 8113, 16013, 30031, 35055"
%[18-20[,219,"6001, 6059, 6083, 6085, 6087, 8014, 8019, 8027, 8029, 8033, 8039, 8047, 8053, 8055, 8059, 8061, 8079, 8085, 8091, 8093, 8103, 8111, 8119, 9001, 24031, 25001, 25021, 35003, 35007, 35027, 35028, 36119, 50007, 51013, 53055"
%[20-22[,414,"6017, 6037, 6045, 6051, 6057, 6061, 6073, 6081, 6097, 6109, 6111, 8005, 8017, 8021, 8023, 8025, 8041, 8057, 8071, 8077, 8083, 8095, 8105, 8109, 8115, 11001, 12021, 12085, 12086, 12087, 12099, 12109, 12115, 15003, 15007, 23005, 25007, 25015, 25019, 25025, 30057, 30063, 30067, 30081, 32005, 32031, 34003, 34019, 34027, 35001, 35017, 35033, 35047, 35051, 41017, 44001, 45013, 48453, 49019, 49029, 51059, 51510, 53033"
%[22-24[,604,"4005, 4019, 4023, 4025, 6009, 6027, 6049, 6053, 6055, 6063, 6079, 6091, 8003, 8009, 8011, 8043, 8073, 8081, 8099, 8121, 8125, 9005, 9007, 9013, 12011, 12061, 13067, 13121, 15001, 15005, 15009, 16001, 16017, 16081, 17043, 19103, 23013, 23015, 24027, 25003, 25011, 25017, 27053, 30001, 30029, 30049, 30055, 30069, 30095, 30097, 33003, 34025, 34035, 34039, 35011, 35021, 35023, 35039, 35043, 36047, 36059, 36081, 36087, 36103, 37021, 37135, 41003, 41051, 42029, 44005, 44009, 49005, 49051, 49053, 49055, 50001, 50003, 50023, 50025, 50027, 51003, 51107, 53031, 53073, 56001, 56019, 56023, 56029, 56033, 56035"
%[24-26[,1095,"4003, 4013, 6003, 6005, 6007, 6011, 6013, 6023, 6043, 6069, 6093, 6103, 6105, 6113, 8001, 8075, 8087, 8089, 8101, 8123, 9003, 9009, 9011, 12001, 12009, 12015, 12035, 12071, 12081, 12091, 12095, 12103, 12113, 12117, 12127, 13057, 13227, 16007, 16015, 16025, 16029, 16043, 16055, 16057, 16065, 16085, 17019, 17031, 18057, 18105, 20045, 20091, 20161, 23009, 23023, 23031, 25009, 25023, 25027, 26161, 27019, 27123, 27163, 30009, 30011, 30019, 30023, 30027, 30037, 30043, 30051, 30053, 30059, 30065, 30071, 30075, 30089, 30093, 30103, 30107, 30109, 30111, 31135, 32001, 32009, 32510, 33009, 33015, 34017, 34021, 34023, 34031, 35013, 35019, 35029, 35035, 35053, 35057, 35059, 36001, 36021, 36041, 36079, 36109, 36123, 37115, 37119, 37129, 37149, 37175, 37183, 37189, 37199, 41005, 41029, 41063, 41067, 42017, 42045, 42091, 45019, 46081, 48049, 48085, 48091, 48121, 48157, 48209, 48243, 48299, 48339, 49001, 49009, 49011, 49021, 49025, 49035, 49037, 49039, 49049, 50013, 50015, 51061, 51091, 51095, 51121, 51161, 51540, 51600, 51660, 51735, 51775, 53007, 53019, 53029, 53075, 55025, 56011, 56031, 56043"
%[26-28[,3087,"1003, 2020, 2090, 2100, 2110, 4007, 6015, 6019, 6021, 6025, 6031, 6033, 6035, 6039, 6065, 6067, 6089, 6101, 8063, 10003, 12005, 12017, 12057, 12069, 12073, 12083, 12089, 12097, 12101, 12111, 12119, 12131, 13011, 13059, 13077, 13085, 13089, 13111, 13117, 13125, 13127, 13135, 13139, 13143, 13157, 13211, 13223, 13231, 13241, 13281, 13291, 13311, 16019, 16021, 16023, 16037, 16049, 16059, 16083, 16087, 17009, 17011, 17013, 17015, 17017, 17029, 17035, 17037, 17053, 17059, 17065, 17067, 17085, 17089, 17095, 17097, 17099, 17109, 17111, 17129, 17139, 17153, 17157, 17181, 17195, 18047, 18157, 19061, 19167, 19169, 19191, 22103, 23027, 24003, 24005, 24013, 24021, 24025, 24029, 24035, 24041, 25005, 25013, 26055, 26125, 26139, 27021, 27037, 27039, 27043, 27045, 27055, 27057, 27059, 27067, 27069, 27071, 27081, 27107, 27109, 27113, 27117, 27137, 27139, 27145, 27165, 27171, 27173, 29183, 30007, 30013, 30015, 30017, 30025, 30033, 30039, 30045, 30047, 30061, 30077, 30079, 30099, 30101, 30105, 31027, 31031, 31045, 31055, 31109, 32003, 32011, 32013, 32017, 32029, 33005, 33011, 33013, 33019, 34001, 34005, 34009, 34013, 34015, 34029, 34037, 35041, 35061, 36003, 36007, 36011, 36015, 36019, 36023, 36025, 36027, 36029, 36031, 36037, 36039, 36053, 36057, 36071, 36077, 36083, 36085, 36091, 36093, 36095, 36105, 36111, 36121, 37005, 37009, 37011, 37031, 37037, 37039, 37043, 37055, 37089, 37097, 37109, 37113, 37121, 37125, 37179, 37193, 38007, 38015, 38023, 38039, 38087, 39041, 39055, 41001, 41007, 41013, 41021, 41027, 41033, 41035, 41037, 41039, 41041, 41055, 41057, 41061, 41069, 41071, 42003, 42019, 42027, 42041, 42115, 42129, 44003, 44007, 45045, 46003, 46011, 46073, 46083, 46087, 46089, 46093, 46103, 47187, 48007, 48009, 48011, 48013, 48015, 48017, 48019, 48023, 48029, 48033, 48035, 48041, 48043, 48045, 48047, 48055, 48069, 48075, 48079, 48081, 48083, 48087, 48093, 48101, 48107, 48109, 48113, 48125, 48129, 48131, 48133, 48137, 48141, 48143, 48147, 48149, 48151, 48153, 48155, 48159, 48163, 48167, 48169, 48171, 48173, 48175, 48181, 48195, 48201, 48207, 48211, 48221, 48229, 48235, 48237, 48247, 48253, 48259, 48261, 48263, 48265, 48267, 48269, 48271, 48273, 48275, 48281, 48283, 48287, 48291, 48295, 48297, 48303, 48305, 48307, 48317, 48319, 48327, 48333, 48337, 48345, 48357, 48371, 48377, 48381, 48383, 48385, 48389, 48393, 48397, 48399, 48403, 48407, 48411, 48413, 48415, 48417, 48421, 48425, 48429, 48431, 48433, 48435, 48437, 48439, 48443, 48447, 48451, 48455, 48461, 48483, 48489, 48495, 48501, 48503, 48505, 48507, 49007, 49013, 49015, 49023, 49027, 49031, 49033, 49041, 49047, 49057, 50005, 50009, 50011, 50017, 50019, 50021, 51017, 51023, 51041, 51043, 51045, 51063, 51065, 51067, 51071, 51075, 51079, 51085, 51087, 51099, 51101, 51115, 51119, 51125, 51137, 51153, 51157, 51163, 51165, 51171, 51191, 51199, 51520, 51530, 51570, 51580, 51610, 51630, 51640, 51678, 51683, 51720, 51750, 51790, 51810, 51830, 51840, 53009, 53037, 53039, 53047, 53067, 53071, 55003, 55009, 55029, 55035, 55063, 55089, 55109, 55125, 55127, 55133, 56003, 56013, 56015, 56017, 56021, 56025, 56027"
%[28-30[,4546,"1029, 1081, 1095, 1117, 1133, 2068, 2122, 2150, 2170, 2220, 4015, 4017, 4027, 5005, 5007, 5051, 5143, 6029, 6071, 6077, 6095, 6115, 9015, 10005, 12019, 12031, 12033, 12037, 12045, 12053, 12055, 13029, 13035, 13039, 13047, 13053, 13065, 13073, 13079, 13083, 13101, 13113, 13119, 13123, 13129, 13137, 13145, 13147, 13149, 13159, 13161, 13177, 13181, 13187, 13219, 13221, 13229, 13237, 16003, 16005, 16009, 16033, 16035, 16039, 16041, 16045, 16047, 16061, 16071, 16073, 16077, 17003, 17005, 17021, 17025, 17027, 17033, 17039, 17041, 17045, 17047, 17049, 17051, 17055, 17057, 17061, 17063, 17069, 17071, 17073, 17077, 17079, 17081, 17083, 17087, 17091, 17093, 17101, 17103, 17105, 17107, 17113, 17115, 17117, 17123, 17127, 17131, 17135, 17137, 17141, 17143, 17145, 17147, 17149, 17151, 17155, 17159, 17161, 17165, 17167, 17169, 17171, 17173, 17175, 17179, 17185, 17187, 17189, 17191, 17193, 17197, 17199, 17203, 18005, 18011, 18013, 18015, 18023, 18037, 18043, 18045, 18073, 18081, 18099, 18115, 18129, 18141, 18143, 18147, 18161, 18173, 18177, 18179, 19003, 19013, 19017, 19027, 19039, 19049, 19067, 19073, 19075, 19079, 19089, 19093, 19101, 19107, 19119, 19131, 19153, 19163, 19165, 19171, 19173, 19189, 20017, 20029, 20063, 20065, 20079, 20089, 20093, 20113, 20119, 20131, 20135, 20147, 20167, 20181, 20195, 20201, 20203, 21009, 21035, 21049, 21067, 21113, 21117, 21139, 21185, 22055, 23007, 23011, 23017, 23019, 23029, 24009, 24023, 24047, 26003, 26005, 26019, 26029, 26043, 26061, 26065, 26071, 26081, 26089, 26093, 26103, 26119, 27001, 27003, 27007, 27009, 27011, 27015, 27017, 27023, 27025, 27027, 27029, 27031, 27033, 27035, 27041, 27047, 27051, 27063, 27065, 27073, 27075, 27077, 27083, 27085, 27089, 27093, 27099, 27101, 27103, 27105, 27111, 27121, 27129, 27131, 27133, 27135, 27141, 27147, 27151, 27153, 27155, 27157, 27159, 27167, 27169, 28089, 29001, 29003, 29005, 29019, 29029, 29041, 29043, 29047, 29051, 29075, 29083, 29085, 29107, 29109, 29117, 29119, 29131, 29135, 29141, 29147, 29161, 29163, 29165, 29167, 29185, 29189, 29203, 29219, 29227, 30021, 30073, 30083, 30091, 31003, 31005, 31009, 31011, 31017, 31019, 31029, 31033, 31039, 31049, 31071, 31075, 31083, 31089, 31091, 31093, 31099, 31101, 31103, 31105, 31107, 31113, 31123, 31125, 31133, 31141, 31149, 31153, 31155, 31159, 31161, 31179, 31183, 32015, 32019, 32021, 33001, 33007, 33017, 34007, 34041, 35005, 35009, 35037, 35045, 36005, 36009, 36013, 36017, 36033, 36035, 36043, 36045, 36051, 36055, 36063, 36065, 36067, 36069, 36073, 36075, 36089, 36097, 36099, 36101, 36107, 36113, 36115, 36117, 37019, 37023, 37025, 37035, 37053, 37059, 37063, 37067, 37075, 37081, 37087, 37105, 37161, 37167, 37171, 38001, 38009, 38011, 38013, 38017, 38019, 38027, 38029, 38031, 38033, 38035, 38041, 38043, 38063, 38075, 38089, 38091, 38095, 38101, 39005, 39009, 39035, 39061, 39069, 39075, 39083, 39085, 39097, 39099, 39103, 39107, 39125, 39133, 39135, 39153, 39165, 40027, 40093, 40109, 40143, 41015, 41023, 41025, 41031, 41045, 41049, 41065, 42001, 42007, 42023, 42047, 42061, 42065, 42069, 42071, 42075, 42077, 42079, 42081, 42089, 42095, 42119, 45051, 45073, 45077, 45091, 46009, 46019, 46021, 46027, 46029, 46033, 46037, 46043, 46045, 46049, 46051, 46055, 46057, 46059, 46061, 46065, 46075, 46097, 46099, 46107, 46111, 46129, 46135, 47035, 47065, 47091, 47093, 47105, 47121, 47125, 47151, 47153, 47155, 47165, 48001, 48003, 48025, 48027, 48031, 48039, 48051, 48053, 48057, 48059, 48061, 48065, 48071, 48073, 48077, 48089, 48095, 48097, 48099, 48103, 48105, 48111, 48115, 48117, 48119, 48123, 48127, 48139, 48145, 48161, 48165, 48177, 48179, 48185, 48187, 48189, 48191, 48193, 48197, 48205, 48213, 48217, 48219, 48223, 48225, 48231, 48233, 48241, 48249, 48251, 48255, 48257, 48277, 48279, 48285, 48289, 48301, 48311, 48313, 48323, 48329, 48331, 48335, 48341, 48343, 48349, 48351, 48353, 48359, 48361, 48363, 48365, 48367, 48369, 48373, 48379, 48387, 48391, 48395, 48401, 48423, 48427, 48441, 48445, 48457, 48459, 48463, 48465, 48467, 48475, 48477, 48479, 48485, 48487, 48491, 48493, 48499, 49017, 51005, 51007, 51009, 51011, 51019, 51021, 51033, 51035, 51077, 51093, 51103, 51111, 51113, 51127, 51133, 51139, 51141, 51145, 51155, 51159, 51167, 51169, 51173, 51175, 51179, 51185, 51187, 51197, 51680, 51685, 51760, 51820, 53011, 53013, 53017, 53035, 53045, 53051, 53053, 53057, 53061, 53063, 53065, 54061, 55007, 55013, 55015, 55017, 55039, 55043, 55045, 55051, 55055, 55073, 55083, 55087, 55093, 55095, 55113, 55117, 55121, 55129, 55131, 55135, 55139, 55141, 56007, 56009, 56041, 56045"
