county_fips,county,state,PCT_poverty_rate_2015,PCT_poverty_rate_2015_children
1001,Autauga,AL,12.7,18.8
1003,Baldwin,AL,12.9,19.6
1005,Barbour,AL,32.0,45.2
1007,Bibb,AL,22.2,29.3
1009,Blount,AL,14.7,22.2
1011,Bullock,AL,39.6,51.2
1013,Butler,AL,25.8,36.0
1015,Calhoun,AL,20.0,30.7
1017,Chambers,AL,22.4,34.4
1019,Cherokee,AL,19.4,30.2
1021,Chilton,AL,20.2,28.1
1023,Choctaw,AL,24.4,33.5
1025,Clarke,AL,22.2,30.9
1027,Clay,AL,18.4,27.3
1029,Cleburne,AL,18.9,27.7
1031,Coffee,AL,16.2,23.7
1033,Colbert,AL,18.1,26.9
1035,Conecuh,AL,28.3,41.0
1037,Coosa,AL,20.3,32.2
1039,Covington,AL,22.3,34.1
1041,Crenshaw,AL,19.9,29.6
1043,Cullman,AL,19.4,24.7
1045,Dale,AL,18.5,29.0
1047,Dallas,AL,34.6,50.1
1049,DeKalb,AL,20.6,28.9
1051,Elmore,AL,14.0,19.9
1053,Escambia,AL,24.4,32.0
1055,Etowah,AL,19.0,30.7
1057,Fayette,AL,20.4,29.4
1059,Franklin,AL,21.1,32.4
1061,Geneva,AL,22.4,34.8
1063,Greene,AL,37.7,54.7
1065,Hale,AL,28.5,38.6
1067,Henry,AL,17.0,27.5
1069,Houston,AL,18.3,29.5
1071,Jackson,AL,18.4,26.9
1073,Jefferson,AL,18.0,26.2
1075,Lamar,AL,24.7,33.8
1077,Lauderdale,AL,17.3,23.9
1079,Lawrence,AL,18.7,26.4
1081,Lee,AL,21.0,20.7
1083,Limestone,AL,14.3,18.8
1085,Lowndes,AL,35.2,46.7
1087,Macon,AL,32.2,46.1
1089,Madison,AL,13.3,19.1
1091,Marengo,AL,23.3,34.8
1093,Marion,AL,19.8,30.4
1095,Marshall,AL,20.1,32.7
1097,Mobile,AL,18.4,26.9
1099,Monroe,AL,28.6,35.7
1101,Montgomery,AL,22.8,33.8
1103,Morgan,AL,16.4,24.0
1105,Perry,AL,40.0,54.4
1107,Pickens,AL,24.3,35.3
1109,Pike,AL,25.9,36.0
1111,Randolph,AL,18.7,31.7
1113,Russell,AL,23.0,36.3
1115,St. Clair,AL,12.4,17.5
1117,Shelby,AL,8.5,10.2
1119,Sumter,AL,33.2,44.2
1121,Talladega,AL,22.4,31.1
1123,Tallapoosa,AL,21.7,34.5
1125,Tuscaloosa,AL,20.0,25.1
1127,Walker,AL,20.6,31.1
1129,Washington,AL,22.4,31.5
1131,Wilcox,AL,33.2,49.2
1133,Winston,AL,18.9,29.3
2013,Aleutians East,AK,17.4,15.5
2016,Aleutians West,AK,8.5,8.5
2020,Anchorage,AK,8.7,12.4
2050,Bethel,AK,24.2,31.5
2060,Bristol Bay,AK,9.0,8.6
2068,Denali,AK,6.6,10.2
2070,Dillingham,AK,20.0,30.4
2090,Fairbanks North Star,AK,8.1,10.1
2100,Haines,AK,10.9,20.2
2105,Hoonah-Angoon,AK,16.2,29.2
2110,Juneau,AK,8.0,10.1
2122,Kenai Peninsula,AK,11.4,14.0
2130,Ketchikan Gateway,AK,10.3,14.4
2150,Kodiak Island,AK,7.5,9.3
2164,Lake and Peninsula,AK,19.3,31.4
2170,Matanuska-Susitna,AK,9.8,11.8
2180,Nome,AK,21.4,27.6
2185,North Slope,AK,12.6,17.6
2188,Northwest Arctic,AK,26.3,34.9
2195,Petersburg,AK,7.9,10.3
2198,Prince of Wales-Hyder,AK,15.6,23.8
2220,Sitka,AK,9.2,10.4
2230,Skagway,AK,3.7,6.3
2240,Southeast Fairbanks,AK,13.5,21.4
2261,Valdez-Cordova,AK,9.5,12.2
2270,Wade Hampton,AK,,
2275,Wrangell,AK,12.0,16.0
2282,Yakutat,AK,15.4,26.1
2290,Yukon-Koyukuk,AK,23.4,34.4
4001,Apache,AZ,38.0,44.7
4003,Cochise,AZ,16.9,25.7
4005,Coconino,AZ,19.5,20.7
4007,Gila,AZ,21.3,36.6
4009,Graham,AZ,22.9,26.9
4011,Greenlee,AZ,10.1,11.3
4012,La Paz,AZ,22.2,36.9
4013,Maricopa,AZ,16.3,23.0
4015,Mohave,AZ,17.4,29.8
4017,Navajo,AZ,28.1,36.7
4019,Pima,AZ,18.7,27.7
4021,Pinal,AZ,15.8,21.6
4023,Santa Cruz,AZ,24.4,36.7
4025,Yavapai,AZ,15.1,23.4
4027,Yuma,AZ,21.1,30.8
5001,Arkansas,AR,20.7,30.5
5003,Ashley,AR,19.6,31.2
5005,Baxter,AR,16.4,28.5
5007,Benton,AR,10.8,15.3
5009,Boone,AR,16.5,25.1
5011,Bradley,AR,28.0,40.2
5013,Calhoun,AR,16.7,23.1
5015,Carroll,AR,16.6,27.7
5017,Chicot,AR,31.4,43.2
5019,Clark,AR,22.5,28.2
5021,Clay,AR,20.8,27.9
5023,Cleburne,AR,15.6,24.7
5025,Cleveland,AR,18.1,25.9
5027,Columbia,AR,23.8,32.8
5029,Conway,AR,17.8,29.1
5031,Craighead,AR,17.3,24.3
5033,Crawford,AR,14.4,22.5
5035,Crittenden,AR,25.9,37.3
5037,Cross,AR,21.5,31.8
5039,Dallas,AR,21.3,35.9
5041,Desha,AR,30.9,45.7
5043,Drew,AR,21.2,29.3
5045,Faulkner,AR,14.8,17.0
5047,Franklin,AR,18.2,26.9
5049,Fulton,AR,19.4,34.2
5051,Garland,AR,19.3,28.2
5053,Grant,AR,13.2,18.8
5055,Greene,AR,17.1,24.9
5057,Hempstead,AR,24.1,34.1
5059,Hot Spring,AR,20.8,28.1
5061,Howard,AR,18.7,30.7
5063,Independence,AR,18.0,26.8
5065,Izard,AR,19.8,31.4
5067,Jackson,AR,27.5,39.7
5069,Jefferson,AR,26.5,37.8
5071,Johnson,AR,21.8,29.1
5073,Lafayette,AR,22.7,36.3
5075,Lawrence,AR,23.7,33.5
5077,Lee,AR,35.9,48.7
5079,Lincoln,AR,25.1,27.4
5081,Little River,AR,19.9,28.2
5083,Logan,AR,20.5,30.5
5085,Lonoke,AR,11.9,16.7
5087,Madison,AR,18.8,29.1
5089,Marion,AR,18.8,34.7
5091,Miller,AR,22.3,31.5
5093,Mississippi,AR,26.3,37.6
5095,Monroe,AR,30.9,46.7
5097,Montgomery,AR,21.8,34.8
5099,Nevada,AR,24.0,35.6
5101,Newton,AR,24.2,37.1
5103,Ouachita,AR,22.8,35.1
