fips,county,state,PCT_obese_adults_2008,PCT_obese_adults_2013,PCT_diabetes_adults_2008,PCT_diabetes_adults_2013
1001,Autauga,AL,31.5,34.1,11.4,13.0
1003,Baldwin,AL,26.2,27.4,9.8,10.4
1005,Barbour,AL,37.6,44.4,13.6,18.4
1007,Bibb,AL,32.3,40.3,11.1,14.8
1009,Blount,AL,31.9,34.6,11.4,14.1
1011,Bullock,AL,37.8,43.0,14.9,19.6
1013,Butler,AL,36.8,36.3,15.1,17.7
1015,Calhoun,AL,33.5,32.2,14.5,14.9
1017,Chambers,AL,35.5,39.7,16.1,16.4
1019,Cherokee,AL,31.5,33.6,13.6,13.3
1021,Chilton,AL,34.8,35.9,10.2,13.3
1023,Choctaw,AL,36.5,40.8,14.7,18.1
1025,Clarke,AL,36.0,38.2,14.1,16.3
1027,Clay,AL,32.2,37.3,13.2,14.6
1029,Cleburne,AL,28.8,30.0,11.0,12.6
1031,Coffee,AL,32.7,33.7,12.1,15.9
1033,Colbert,AL,34.7,37.5,13.5,18.7
1035,Conecuh,AL,32.1,36.4,14.5,17.4
1037,Coosa,AL,33.2,39.7,13.2,17.3
1039,Covington,AL,33.8,34.0,13.1,14.7
1041,Crenshaw,AL,33.6,39.7,12.6,16.5
1043,Cullman,AL,30.1,33.4,11.9,14.4
1045,Dale,AL,34.4,36.5,13.5,14.1
1047,Dallas,AL,39.9,40.8,15.6,19.0
1049,DeKalb,AL,31.7,30.4,11.2,13.4
1051,Elmore,AL,29.0,35.4,9.9,13.4
1053,Escambia,AL,34.4,37.7,12.3,17.8
1055,Etowah,AL,30.8,35.1,11.6,16.8
1057,Fayette,AL,32.3,33.7,12.7,15.1
1059,Franklin,AL,29.5,33.2,12.8,13.9
1061,Geneva,AL,32.0,34.1,12.6,13.9
1063,Greene,AL,43.7,46.3,18.2,21.0
1065,Hale,AL,40.2,40.4,15.1,16.0
1067,Henry,AL,33.8,35.8,13.5,18.7
1069,Houston,AL,33.2,32.8,12.4,13.7
1071,Jackson,AL,31.6,32.0,11.9,14.9
1073,Jefferson,AL,31.4,33.2,12.0,13.0
1075,Lamar,AL,30.8,33.6,12.7,14.9
1077,Lauderdale,AL,29.1,32.9,12.8,14.2
1079,Lawrence,AL,32.8,35.5,12.9,15.6
1081,Lee,AL,30.1,29.0,9.6,9.5
1083,Limestone,AL,29.1,32.9,10.4,12.6
