fips,county,state,PCT_poverty_rate_2015,PCT_poverty_rate_2015_children,persistent_poverty_2010,persistent_child_poverty_2010,MEDIAN_houshold_income_2015
1001,Autauga,AL,12.7,18.8,0,0,56580.0
1003,Baldwin,AL,12.9,19.6,0,0,52387.0
1005,Barbour,AL,32.0,45.2,1,1,31433.0
1007,Bibb,AL,22.2,29.3,0,1,40767.0
1009,Blount,AL,14.7,22.2,0,0,50487.0
1011,Bullock,AL,39.6,51.2,1,1,28251.0
1013,Butler,AL,25.8,36.0,1,1,33868.0
1015,Calhoun,AL,20.0,30.7,0,0,42091.0
1017,Chambers,AL,22.4,34.4,0,1,35560.0
1019,Cherokee,AL,19.4,30.2,0,0,39144.0
1021,Chilton,AL,20.2,28.1,0,0,42767.0
1023,Choctaw,AL,24.4,33.5,1,1,35089.0
1025,Clarke,AL,22.2,30.9,1,1,37317.0
1027,Clay,AL,18.4,27.3,0,0,38908.0
1029,Cleburne,AL,18.9,27.7,0,0,42136.0
1031,Coffee,AL,16.2,23.7,0,0,46858.0
1033,Colbert,AL,18.1,26.9,0,0,41171.0
1035,Conecuh,AL,28.3,41.0,1,1,29981.0
1037,Coosa,AL,20.3,32.2,0,0,36078.0
1039,Covington,AL,22.3,34.1,0,1,36355.0
1041,Crenshaw,AL,19.9,29.6,0,1,36759.0
1043,Cullman,AL,19.4,24.7,0,0,39290.0
1045,Dale,AL,18.5,29.0,0,0,45294.0
1047,Dallas,AL,34.6,50.1,1,1,29682.0
1049,DeKalb,AL,20.6,28.9,0,0,37305.0
1051,Elmore,AL,14.0,19.9,0,0,53548.0
1053,Escambia,AL,24.4,32.0,1,1,36840.0
1055,Etowah,AL,19.0,30.7,0,0,42145.0
1057,Fayette,AL,20.4,29.4,0,0,37085.0
1059,Franklin,AL,21.1,32.4,0,0,38535.0
1061,Geneva,AL,22.4,34.8,0,1,36289.0
1063,Greene,AL,37.7,54.7,1,1,25398.0
1065,Hale,AL,28.5,38.6,1,1,35470.0
1067,Henry,AL,17.0,27.5,0,1,42501.0
1069,Houston,AL,18.3,29.5,0,1,43568.0
1071,Jackson,AL,18.4,26.9,0,0,40201.0
1073,Jefferson,AL,18.0,26.2,0,1,48415.0
1075,Lamar,AL,24.7,33.8,0,0,36520.0
1077,Lauderdale,AL,17.3,23.9,0,0,43008.0
1079,Lawrence,AL,18.7,26.4,0,0,41771.0
1081,Lee,AL,21.0,20.7,0,0,46442.0
1083,Limestone,AL,14.3,18.8,0,0,55060.0
1085,Lowndes,AL,35.2,46.7,1,1,31117.0
1087,Macon,AL,32.2,46.1,1,1,29522.0
1089,Madison,AL,13.3,19.1,0,0,59117.0
1091,Marengo,AL,23.3,34.8,1,1,35389.0
1093,Marion,AL,19.8,30.4,0,0,34977.0
1095,Marshall,AL,20.1,32.7,0,0,40599.0
1097,Mobile,AL,18.4,26.9,0,1,42530.0
1099,Monroe,AL,28.6,35.7,1,1,35163.0
1101,Montgomery,AL,22.8,33.8,0,1,42666.0
1103,Morgan,AL,16.4,24.0,0,0,47234.0
1105,Perry,AL,40.0,54.4,1,1,26218.0
1107,Pickens,AL,24.3,35.3,1,1,33160.0
1109,Pike,AL,25.9,36.0,1,1,34442.0
1111,Randolph,AL,18.7,31.7,0,1,37333.0
1113,Russell,AL,23.0,36.3,0,1,36124.0
1115,St. Clair,AL,12.4,17.5,0,0,53558.0
1117,Shelby,AL,8.5,10.2,0,0,70879.0
1119,Sumter,AL,33.2,44.2,1,1,25931.0
1121,Talladega,AL,22.4,31.1,0,1,37911.0
1123,Tallapoosa,AL,21.7,34.5,0,0,39051.0
1125,Tuscaloosa,AL,20.0,25.1,0,0,47868.0
1127,Walker,AL,20.6,31.1,0,0,37305.0
1129,Washington,AL,22.4,31.5,0,1,42658.0
1131,Wilcox,AL,33.2,49.2,1,1,23014.0
1133,Winston,AL,18.9,29.3,0,0,36497.0
2013,Aleutians East,AK,17.4,15.5,0,0,57015.0
2016,Aleutians West,AK,8.5,8.5,0,0,80695.0
2020,Anchorage,AK,8.7,12.4,0,0,77791.0
2050,Bethel,AK,24.2,31.5,0,1,44849.0
2060,Bristol Bay,AK,9.0,8.6,0,0,66373.0
2068,Denali,AK,6.6,10.2,0,0,73000.0
2070,Dillingham,AK,20.0,30.4,0,1,50753.0
2090,Fairbanks North Star,AK,8.1,10.1,0,0,70881.0
2100,Haines,AK,10.9,20.2,0,0,57876.0
2105,Hoonah-Angoon,AK,16.2,29.2,0,0,53726.0
2110,Juneau,AK,8.0,10.1,0,0,82892.0
2122,Kenai Peninsula,AK,11.4,14.0,0,0,62025.0
2130,Ketchikan Gateway,AK,10.3,14.4,0,0,65314.0
2150,Kodiak Island,AK,7.5,9.3,0,0,67515.0
2164,Lake and Peninsula,AK,19.3,31.4,0,1,42120.0
2170,Matanuska-Susitna,AK,9.8,11.8,0,0,76601.0
2180,Nome,AK,21.4,27.6,0,0,52952.0
2185,North Slope,AK,12.6,17.6,0,0,70834.0
2188,Northwest Arctic,AK,26.3,34.9,0,0,53774.0
2195,Petersburg,AK,7.9,10.3,0,0,63098.0
2198,Prince of Wales-Hyder,AK,15.6,23.8,0,0,45305.0
2220,Sitka,AK,9.2,10.4,0,0,68472.0
2230,Skagway,AK,3.7,6.3,0,0,65878.0
2240,Southeast Fairbanks,AK,13.5,21.4,0,0,60203.0
2261,Valdez-Cordova,AK,9.5,12.2,0,0,70101.0
2270,Wade Hampton,AK,,,1,1,
2275,Wrangell,AK,12.0,16.0,0,0,54500.0
2282,Yakutat,AK,15.4,26.1,0,0,53795.0
2290,Yukon-Koyukuk,AK,23.4,34.4,1,1,37755.0
4001,Apache,AZ,38.0,44.7,1,1,31072.0
4003,Cochise,AZ,16.9,25.7,0,0,43451.0
4005,Coconino,AZ,19.5,20.7,0,1,51955.0
4007,Gila,AZ,21.3,36.6,0,0,41346.0
4009,Graham,AZ,22.9,26.9,0,1,44169.0
4011,Greenlee,AZ,10.1,11.3,0,0,58854.0
4012,La Paz,AZ,22.2,36.9,0,1,34835.0
4013,Maricopa,AZ,16.3,23.0,0,0,56017.0
4015,Mohave,AZ,17.4,29.8,0,0,40360.0
4017,Navajo,AZ,28.1,36.7,1,1,37658.0
4019,Pima,AZ,18.7,27.7,0,0,47107.0
4021,Pinal,AZ,15.8,21.6,0,0,50888.0
4023,Santa Cruz,AZ,24.4,36.7,0,1,34893.0
4025,Yavapai,AZ,15.1,23.4,0,0,47220.0
4027,Yuma,AZ,21.1,30.8,0,1,40426.0
5001,Arkansas,AR,20.7,30.5,0,1,41179.0
5003,Ashley,AR,19.6,31.2,0,1,39871.0
5005,Baxter,AR,16.4,28.5,0,0,36902.0
5007,Benton,AR,10.8,15.3,0,0,60294.0
5009,Boone,AR,16.5,25.1,0,0,40909.0
5011,Bradley,AR,28.0,40.2,1,1,37331.0
5013,Calhoun,AR,16.7,23.1,0,0,40526.0
5015,Carroll,AR,16.6,27.7,0,1,37587.0
5017,Chicot,AR,31.4,43.2,1,1,29968.0
5019,Clark,AR,22.5,28.2,0,1,37856.0
5021,Clay,AR,20.8,27.9,0,1,35324.0
5023,Cleburne,AR,15.6,24.7,0,0,43913.0
5025,Cleveland,AR,18.1,25.9,0,0,44123.0
5027,Columbia,AR,23.8,32.8,1,1,38057.0
5029,Conway,AR,17.8,29.1,0,0,43702.0
5031,Craighead,AR,17.3,24.3,0,0,42460.0
5033,Crawford,AR,14.4,22.5,0,0,46545.0
5035,Crittenden,AR,25.9,37.3,1,1,37371.0
5037,Cross,AR,21.5,31.8,0,1,39132.0
5039,Dallas,AR,21.3,35.9,0,0,33352.0
5041,Desha,AR,30.9,45.7,1,1,30987.0
5043,Drew,AR,21.2,29.3,0,0,39339.0
5045,Faulkner,AR,14.8,17.0,0,0,51157.0
5047,Franklin,AR,18.2,26.9,0,0,41933.0
5049,Fulton,AR,19.4,34.2,0,1,34717.0
5051,Garland,AR,19.3,28.2,0,0,37723.0
5053,Grant,AR,13.2,18.8,0,0,47652.0
5055,Greene,AR,17.1,24.9,0,0,43996.0
5057,Hempstead,AR,24.1,34.1,0,1,34560.0
5059,Hot Spring,AR,20.8,28.1,0,0,39851.0
5061,Howard,AR,18.7,30.7,0,0,33199.0
5063,Independence,AR,18.0,26.8,0,0,38241.0
5065,Izard,AR,19.8,31.4,0,1,35355.0
5067,Jackson,AR,27.5,39.7,0,1,32571.0
5069,Jefferson,AR,26.5,37.8,1,1,36990.0
5071,Johnson,AR,21.8,29.1,0,0,35877.0
5073,Lafayette,AR,22.7,36.3,1,1,33864.0
5075,Lawrence,AR,23.7,33.5,0,1,34808.0
5077,Lee,AR,35.9,48.7,1,1,28481.0
5079,Lincoln,AR,25.1,27.4,0,1,40216.0
5081,Little River,AR,19.9,28.2,0,0,39265.0
5083,Logan,AR,20.5,30.5,0,0,37924.0
5085,Lonoke,AR,11.9,16.7,0,0,56240.0
5087,Madison,AR,18.8,29.1,0,1,41007.0
5089,Marion,AR,18.8,34.7,0,0,34946.0
5091,Miller,AR,22.3,31.5,0,1,39005.0
5093,Mississippi,AR,26.3,37.6,1,1,34888.0
5095,Monroe,AR,30.9,46.7,1,1,30801.0
5097,Montgomery,AR,21.8,34.8,0,1,37813.0
5099,Nevada,AR,24.0,35.6,1,1,35914.0
5101,Newton,AR,24.2,37.1,1,1,33679.0
5103,Ouachita,AR,22.8,35.1,0,1,37987.0
5105,Perry,AR,16.8,25.9,0,0,43020.0
5107,Phillips,AR,37.3,56.4,1,1,28224.0
5109,Pike,AR,18.5,30.2,0,0,36266.0
5111,Poinsett,AR,23.9,36.6,1,1,32756.0
5113,Polk,AR,24.4,32.4,0,1,34723.0
5115,Pope,AR,20.8,24.6,0,0,41074.0
5117,Prairie,AR,19.6,28.5,0,0,39518.0
5119,Pulaski,AR,19.4,27.7,0,0,46473.0
5121,Randolph,AR,17.6,27.4,0,0,34730.0
5123,St. Francis,AR,30.7,44.3,1,1,31625.0
5125,Saline,AR,10.7,15.3,0,0,56926.0
5127,Scott,AR,20.8,34.7,0,1,36028.0
5129,Searcy,AR,22.2,39.1,1,1,30427.0
5131,Sebastian,AR,22.1,29.9,0,0,41452.0
5133,Sevier,AR,20.8,32.2,0,0,41848.0
5135,Sharp,AR,24.6,39.2,0,1,32095.0
5137,Stone,AR,21.5,36.3,0,1,32023.0
5139,Union,AR,19.7,27.0,0,1,42195.0
5141,Van Buren,AR,19.0,29.6,0,1,38306.0
5143,Washington,AR,16.9,21.3,0,0,46418.0
5145,White,AR,19.7,24.2,0,0,42508.0
5147,Woodruff,AR,25.8,39.3,1,1,31013.0
5149,Yell,AR,17.8,27.6,0,0,37415.0
6001,Alameda,CA,11.5,13.8,0,0,81462.0
6003,Alpine,CA,19.0,35.7,0,0,50882.0
6005,Amador,CA,13.1,19.5,0,0,55879.0
6007,Butte,CA,21.4,23.8,0,0,45369.0
6009,Calaveras,CA,13.0,21.2,0,0,52471.0
6011,Colusa,CA,13.2,19.4,0,0,51118.0
6013,Contra Costa,CA,10.2,12.7,0,0,83036.0
6015,Del Norte,CA,23.3,33.8,0,0,38963.0
6017,El Dorado,CA,9.1,11.6,0,0,75575.0
6019,Fresno,CA,25.2,36.3,0,1,46608.0
6021,Glenn,CA,18.5,25.7,0,0,43584.0
6023,Humboldt,CA,20.9,23.0,0,0,40739.0
6025,Imperial,CA,24.3,31.4,0,1,39925.0
6027,Inyo,CA,12.4,19.9,0,0,51697.0
6029,Kern,CA,21.9,31.3,0,0,51150.0
6031,Kings,CA,22.4,28.4,0,0,46440.0
6033,Lake,CA,20.5,30.2,0,0,37993.0
6035,Lassen,CA,17.1,19.7,0,0,54670.0
6037,Los Angeles,CA,16.7,23.5,0,0,59045.0
6039,Madera,CA,22.6,32.3,0,1,46593.0
6041,Marin,CA,7.5,8.8,0,0,99868.0
6043,Mariposa,CA,15.2,24.1,0,0,44595.0
6045,Mendocino,CA,20.3,27.3,0,0,43237.0
6047,Merced,CA,25.9,35.9,0,0,42879.0
