,fips,county,state,PCT_food_insecurity_2014*,PCT_low_food_security_2014*,PCT_child_food_insecurity*
0,1001,Autauga,AL,17.6,7.3,9.3
1,1003,Baldwin,AL,17.6,7.3,9.3
2,1005,Barbour,AL,17.6,7.3,9.3
3,1007,Bibb,AL,17.6,7.3,9.3
4,1009,Blount,AL,17.6,7.3,9.3
5,1011,Bullock,AL,17.6,7.3,9.3
6,1013,Butler,AL,17.6,7.3,9.3
7,1015,Calhoun,AL,17.6,7.3,9.3
8,1017,Chambers,AL,17.6,7.3,9.3
9,1019,Cherokee,AL,17.6,7.3,9.3
10,1021,Chilton,AL,17.6,7.3,9.3
11,1023,Choctaw,AL,17.6,7.3,9.3
12,1025,Clarke,AL,17.6,7.3,9.3
13,1027,Clay,AL,17.6,7.3,9.3
14,1029,Cleburne,AL,17.6,7.3,9.3
15,1031,Coffee,AL,17.6,7.3,9.3
16,1033,Colbert,AL,17.6,7.3,9.3
17,1035,Conecuh,AL,17.6,7.3,9.3
18,1037,Coosa,AL,17.6,7.3,9.3
19,1039,Covington,AL,17.6,7.3,9.3
20,1041,Crenshaw,AL,17.6,7.3,9.3
21,1043,Cullman,AL,17.6,7.3,9.3
22,1045,Dale,AL,17.6,7.3,9.3
23,1047,Dallas,AL,17.6,7.3,9.3
24,1049,DeKalb,AL,17.6,7.3,9.3
25,1051,Elmore,AL,17.6,7.3,9.3
26,1053,Escambia,AL,17.6,7.3,9.3
27,1055,Etowah,AL,17.6,7.3,9.3
28,1057,Fayette,AL,17.6,7.3,9.3
29,1059,Franklin,AL,17.6,7.3,9.3
30,1061,Geneva,AL,17.6,7.3,9.3
31,1063,Greene,AL,17.6,7.3,9.3
32,1065,Hale,AL,17.6,7.3,9.3
33,1067,Henry,AL,17.6,7.3,9.3
34,1069,Houston,AL,17.6,7.3,9.3
35,1071,Jackson,AL,17.6,7.3,9.3
36,1073,Jefferson,AL,17.6,7.3,9.3
37,1075,Lamar,AL,17.6,7.3,9.3
38,1077,Lauderdale,AL,17.6,7.3,9.3
39,1079,Lawrence,AL,17.6,7.3,9.3
40,1081,Lee,AL,17.6,7.3,9.3
41,1083,Limestone,AL,17.6,7.3,9.3
42,1085,Lowndes,AL,17.6,7.3,9.3
43,1087,Macon,AL,17.6,7.3,9.3
44,1089,Madison,AL,17.6,7.3,9.3
45,1091,Marengo,AL,17.6,7.3,9.3
46,1093,Marion,AL,17.6,7.3,9.3
47,1095,Marshall,AL,17.6,7.3,9.3
48,1097,Mobile,AL,17.6,7.3,9.3
49,1099,Monroe,AL,17.6,7.3,9.3
50,1101,Montgomery,AL,17.6,7.3,9.3
51,1103,Morgan,AL,17.6,7.3,9.3
52,1105,Perry,AL,17.6,7.3,9.3
53,1107,Pickens,AL,17.6,7.3,9.3
54,1109,Pike,AL,17.6,7.3,9.3
55,1111,Randolph,AL,17.6,7.3,9.3
56,1113,Russell,AL,17.6,7.3,9.3
57,1115,St. Clair,AL,17.6,7.3,9.3
58,1117,Shelby,AL,17.6,7.3,9.3
59,1119,Sumter,AL,17.6,7.3,9.3
60,1121,Talladega,AL,17.6,7.3,9.3
61,1123,Tallapoosa,AL,17.6,7.3,9.3
62,1125,Tuscaloosa,AL,17.6,7.3,9.3
63,1127,Walker,AL,17.6,7.3,9.3
64,1129,Washington,AL,17.6,7.3,9.3
65,1131,Wilcox,AL,17.6,7.3,9.3
66,1133,Winston,AL,17.6,7.3,9.3
67,2013,Aleutians East,AK,13.3,4.4,8.0
68,2016,Aleutians West,AK,13.3,4.4,8.0
69,2020,Anchorage,AK,13.3,4.4,8.0
70,2050,Bethel,AK,13.3,4.4,8.0
71,2060,Bristol Bay,AK,13.3,4.4,8.0
72,2068,Denali,AK,13.3,4.4,8.0
73,2070,Dillingham,AK,13.3,4.4,8.0
74,2090,Fairbanks North Star,AK,13.3,4.4,8.0
75,2100,Haines,AK,13.3,4.4,8.0
76,2105,Hoonah-Angoon,AK,13.3,4.4,8.0
77,2110,Juneau,AK,13.3,4.4,8.0
78,2122,Kenai Peninsula,AK,13.3,4.4,8.0
79,2130,Ketchikan Gateway,AK,13.3,4.4,8.0
80,2150,Kodiak Island,AK,13.3,4.4,8.0
81,2164,Lake and Peninsula,AK,13.3,4.4,8.0
82,2170,Matanuska-Susitna,AK,13.3,4.4,8.0
83,2180,Nome,AK,13.3,4.4,8.0
84,2185,North Slope,AK,13.3,4.4,8.0
85,2188,Northwest Arctic,AK,13.3,4.4,8.0
86,2195,Petersburg,AK,13.3,4.4,8.0
87,2198,Prince of Wales-Hyder,AK,13.3,4.4,8.0
88,2220,Sitka,AK,13.3,4.4,8.0
89,2230,Skagway,AK,13.3,4.4,8.0
90,2240,Southeast Fairbanks,AK,13.3,4.4,8.0
91,2261,Valdez-Cordova,AK,13.3,4.4,8.0
92,2270,Wade Hampton,AK,13.3,4.4,8.0
93,2275,Wrangell,AK,13.3,4.4,8.0
94,2282,Yakutat,AK,13.3,4.4,8.0
95,2290,Yukon-Koyukuk,AK,13.3,4.4,8.0
96,4001,Apache,AZ,19.2,7.4,10.9
97,4003,Cochise,AZ,19.2,7.4,10.9
98,4005,Coconino,AZ,19.2,7.4,10.9
99,4007,Gila,AZ,19.2,7.4,10.9
100,4009,Graham,AZ,19.2,7.4,10.9
101,4011,Greenlee,AZ,19.2,7.4,10.9
102,4012,La Paz,AZ,19.2,7.4,10.9
103,4013,Maricopa,AZ,19.2,7.4,10.9
104,4015,Mohave,AZ,19.2,7.4,10.9
105,4017,Navajo,AZ,19.2,7.4,10.9
106,4019,Pima,AZ,19.2,7.4,10.9
107,4021,Pinal,AZ,19.2,7.4,10.9
108,4023,Santa Cruz,AZ,19.2,7.4,10.9
109,4025,Yavapai,AZ,19.2,7.4,10.9
110,4027,Yuma,AZ,19.2,7.4,10.9
111,5001,Arkansas,AR,14.9,6.0,11.5
112,5003,Ashley,AR,14.9,6.0,11.5
113,5005,Baxter,AR,14.9,6.0,11.5
114,5007,Benton,AR,14.9,6.0,11.5
115,5009,Boone,AR,14.9,6.0,11.5
116,5011,Bradley,AR,14.9,6.0,11.5
117,5013,Calhoun,AR,14.9,6.0,11.5
118,5015,Carroll,AR,14.9,6.0,11.5
119,5017,Chicot,AR,14.9,6.0,11.5
120,5019,Clark,AR,14.9,6.0,11.5
121,5021,Clay,AR,14.9,6.0,11.5
122,5023,Cleburne,AR,14.9,6.0,11.5
123,5025,Cleveland,AR,14.9,6.0,11.5
124,5027,Columbia,AR,14.9,6.0,11.5
125,5029,Conway,AR,14.9,6.0,11.5
126,5031,Craighead,AR,14.9,6.0,11.5
127,5033,Crawford,AR,14.9,6.0,11.5
128,5035,Crittenden,AR,14.9,6.0,11.5
129,5037,Cross,AR,14.9,6.0,11.5
130,5039,Dallas,AR,14.9,6.0,11.5
131,5041,Desha,AR,14.9,6.0,11.5
132,5043,Drew,AR,14.9,6.0,11.5
133,5045,Faulkner,AR,14.9,6.0,11.5
134,5047,Franklin,AR,14.9,6.0,11.5
135,5049,Fulton,AR,14.9,6.0,11.5
136,5051,Garland,AR,14.9,6.0,11.5
137,5053,Grant,AR,14.9,6.0,11.5
138,5055,Greene,AR,14.9,6.0,11.5
139,5057,Hempstead,AR,14.9,6.0,11.5
140,5059,Hot Spring,AR,14.9,6.0,11.5
141,5061,Howard,AR,14.9,6.0,11.5
142,5063,Independence,AR,14.9,6.0,11.5
143,5065,Izard,AR,14.9,6.0,11.5
144,5067,Jackson,AR,14.9,6.0,11.5
145,5069,Jefferson,AR,14.9,6.0,11.5
146,5071,Johnson,AR,14.9,6.0,11.5
147,5073,Lafayette,AR,14.9,6.0,11.5
148,5075,Lawrence,AR,14.9,6.0,11.5
149,5077,Lee,AR,14.9,6.0,11.5
150,5079,Lincoln,AR,14.9,6.0,11.5
151,5081,Little River,AR,14.9,6.0,11.5
152,5083,Logan,AR,14.9,6.0,11.5
153,5085,Lonoke,AR,14.9,6.0,11.5
154,5087,Madison,AR,14.9,6.0,11.5
155,5089,Marion,AR,14.9,6.0,11.5
156,5091,Miller,AR,14.9,6.0,11.5
157,5093,Mississippi,AR,14.9,6.0,11.5
158,5095,Monroe,AR,14.9,6.0,11.5
159,5097,Montgomery,AR,14.9,6.0,11.5
160,5099,Nevada,AR,14.9,6.0,11.5
161,5101,Newton,AR,14.9,6.0,11.5
162,5103,Ouachita,AR,14.9,6.0,11.5
163,5105,Perry,AR,14.9,6.0,11.5
164,5107,Phillips,AR,14.9,6.0,11.5
165,5109,Pike,AR,14.9,6.0,11.5
166,5111,Poinsett,AR,14.9,6.0,11.5
167,5113,Polk,AR,14.9,6.0,11.5
168,5115,Pope,AR,14.9,6.0,11.5
169,5117,Prairie,AR,14.9,6.0,11.5
170,5119,Pulaski,AR,14.9,6.0,11.5
171,5121,Randolph,AR,14.9,6.0,11.5
172,5123,St. Francis,AR,14.9,6.0,11.5
173,5125,Saline,AR,14.9,6.0,11.5
174,5127,Scott,AR,14.9,6.0,11.5
175,5129,Searcy,AR,14.9,6.0,11.5
176,5131,Sebastian,AR,14.9,6.0,11.5
177,5133,Sevier,AR,14.9,6.0,11.5
178,5135,Sharp,AR,14.9,6.0,11.5
179,5137,Stone,AR,14.9,6.0,11.5
180,5139,Union,AR,14.9,6.0,11.5
181,5141,Van Buren,AR,14.9,6.0,11.5
182,5143,Washington,AR,14.9,6.0,11.5
183,5145,White,AR,14.9,6.0,11.5
184,5147,Woodruff,AR,14.9,6.0,11.5
185,5149,Yell,AR,14.9,6.0,11.5
186,6001,Alameda,CA,12.6,4.5,10.8
187,6003,Alpine,CA,12.6,4.5,10.8
188,6005,Amador,CA,12.6,4.5,10.8
189,6007,Butte,CA,12.6,4.5,10.8
190,6009,Calaveras,CA,12.6,4.5,10.8
191,6011,Colusa,CA,12.6,4.5,10.8
192,6013,Contra Costa,CA,12.6,4.5,10.8
193,6015,Del Norte,CA,12.6,4.5,10.8
194,6017,El Dorado,CA,12.6,4.5,10.8
195,6019,Fresno,CA,12.6,4.5,10.8
196,6021,Glenn,CA,12.6,4.5,10.8
197,6023,Humboldt,CA,12.6,4.5,10.8
198,6025,Imperial,CA,12.6,4.5,10.8
199,6027,Inyo,CA,12.6,4.5,10.8
200,6029,Kern,CA,12.6,4.5,10.8
201,6031,Kings,CA,12.6,4.5,10.8
202,6033,Lake,CA,12.6,4.5,10.8
203,6035,Lassen,CA,12.6,4.5,10.8
204,6037,Los Angeles,CA,12.6,4.5,10.8
205,6039,Madera,CA,12.6,4.5,10.8
206,6041,Marin,CA,12.6,4.5,10.8
207,6043,Mariposa,CA,12.6,4.5,10.8
208,6045,Mendocino,CA,12.6,4.5,10.8
209,6047,Merced,CA,12.6,4.5,10.8
210,6049,Modoc,CA,12.6,4.5,10.8
211,6051,Mono,CA,12.6,4.5,10.8
212,6053,Monterey,CA,12.6,4.5,10.8
213,6055,Napa,CA,12.6,4.5,10.8
214,6057,Nevada,CA,12.6,4.5,10.8
215,6059,Orange,CA,12.6,4.5,10.8
216,6061,Placer,CA,12.6,4.5,10.8
217,6063,Plumas,CA,12.6,4.5,10.8
218,6065,Riverside,CA,12.6,4.5,10.8
219,6067,Sacramento,CA,12.6,4.5,10.8
220,6069,San Benito,CA,12.6,4.5,10.8
221,6071,San Bernardino,CA,12.6,4.5,10.8
222,6073,San Diego,CA,12.6,4.5,10.8
223,6075,San Francisco,CA,12.6,4.5,10.8
224,6077,San Joaquin,CA,12.6,4.5,10.8
225,6079,San Luis Obispo,CA,12.6,4.5,10.8
226,6081,San Mateo,CA,12.6,4.5,10.8
227,6083,Santa Barbara,CA,12.6,4.5,10.8
228,6085,Santa Clara,CA,12.6,4.5,10.8
229,6087,Santa Cruz,CA,12.6,4.5,10.8
230,6089,Shasta,CA,12.6,4.5,10.8
231,6091,Sierra,CA,12.6,4.5,10.8
