,county_fips,ABS_facilities_2009,ABS_facilities_2014,PCT_facilities_change,ABS_facilities_per_thousand_pop_2009,ABS_facilities_per_thousand_pop_2014,PCT_facilities_per_thousand_pop_change
0,1001,4,5,25.0,0.073889351,0.090260854,22.156783103
1,1003,18,25,38.888888889,0.100331093,0.124930663,24.518392292
2,1005,1,0,-100.0,0.0361572,0.0,-100.0
3,1007,1,1,0.0,0.0435901,0.0444326,1.932817915
4,1009,3,3,0.0,0.0523186,0.051976,-0.654897001
5,1011,0,0,0.0,0.0,0.0,0.0
6,1013,0,1,,0.0,0.0492708,
7,1015,7,7,0.0,0.0591401,0.0603886,2.111011422
8,1017,2,0,-100.0,0.0581666,0.0,-100.0
9,1019,1,1,0.0,0.0386787,0.0384069,-0.70284595
10,1021,3,2,-33.333333333,0.068990893,0.0455259,-34.011669816
11,1023,0,0,0.0,0.0,0.0,0.0
12,1025,2,3,50.0,0.076810815,0.120264582,56.572459411
13,1027,0,0,0.0,0.0,0.0,0.0
14,1029,0,1,,0.0,0.066312997,
15,1031,5,4,-20.0,0.101132686,0.078571569,-22.308432694
16,1033,4,6,50.0,0.073494286,0.11000495,49.678235521
17,1035,0,0,0.0,0.0,0.0,0.0
18,1037,0,0,0.0,0.0,0.0,0.0
19,1039,2,3,50.0,0.0531237,0.079126444,48.947618294
20,1041,0,0,0.0,0.0,0.0,0.0
21,1043,4,3,-25.0,0.0497816,0.0369054,-25.865430747
22,1045,2,2,0.0,0.0401171,0.0404171,0.747716434
23,1047,1,2,100.0,0.0228524,0.047949,109.819951572
24,1049,4,3,-25.0,0.0564462,0.0422149,-25.21212974
25,1051,4,4,0.0,0.0508699,0.0493967,-2.895884016
26,1053,2,2,0.0,0.0522889,0.053004,1.367503246
27,1055,9,9,0.0,0.086340045,0.086930485,0.683853145
28,1057,0,0,0.0,0.0,0.0,0.0
29,1059,3,3,0.0,0.094969768,0.094933705,-0.037973
30,1061,0,0,0.0,0.0,0.0,0.0
31,1063,0,0,0.0,0.0,0.0,0.0
32,1065,0,1,,0.0,0.065858799,
33,1067,1,0,-100.0,0.0579945,0.0,-100.0
34,1069,6,7,16.666666667,0.0597015,0.067183016,12.531552024
35,1071,2,0,-100.0,0.0374104,0.0,-100.0
36,1073,74,70,-5.405405405,0.112386683,0.105933326,-5.742101597
37,1075,0,0,0.0,0.0,0.0,0.0
38,1077,7,9,28.571428571,0.075654411,0.096674401,27.784222738
39,1079,1,2,100.0,0.0291418,0.0597425,105.00642232
40,1081,8,8,0.0,0.0577342,0.0518622,-10.170821043
41,1083,4,6,50.0,0.0491848,0.066088757,34.368356703
42,1085,1,1,0.0,0.087062511,0.094517958,8.563327032
43,1087,0,0,0.0,0.0,0.0,0.0
44,1089,50,49,-2.0,0.151123147,0.139880502,-7.439393204
45,1091,2,1,-50.0,0.094473311,0.0497265,-47.364495276
46,1093,1,2,100.0,0.0326307,0.066069836,102.477618843
47,1095,2,4,100.0,0.0216889,0.0422672,94.879327106
48,1097,32,30,-6.25,0.077671034,0.072267738,-6.956642971
49,1099,0,1,,0.0,0.0455643,
50,1101,18,19,5.555555556,0.079083684,0.084000548,6.217293208
51,1103,6,9,50.0,0.0504397,0.075246432,49.181067998
52,1105,0,0,0.0,0.0,0.0,0.0
53,1107,2,1,-50.0,0.10093873,0.0491039,-51.352811196
54,1109,2,2,0.0,0.0614251,0.0599,-2.482853634
55,1111,1,0,-100.0,0.0437369,0.0,-100.0
56,1113,4,3,-25.0,0.076684176,0.0503288,-34.368708898
57,1115,2,2,0.0,0.0240938,0.0230688,-4.253895752
58,1117,24,27,12.5,0.124540756,0.130652537,4.907454453
59,1119,1,1,0.0,0.072748436,0.075953213,4.405286344
60,1121,3,0,-100.0,0.0362871,0.0,-100.0
61,1123,3,1,-66.666666667,0.071717148,0.0242925,-66.127373578
62,1125,16,17,6.25,0.082990995,0.084070184,1.300367931
63,1127,6,4,-33.333333333,0.089090828,0.0610958,-31.423072811
64,1129,1,0,-100.0,0.0571657,0.0,-100.0
65,1131,0,0,0.0,0.0,0.0,0.0
66,1133,0,1,,0.0,0.0414079,
67,2013,0,0,0.0,0.0,0.0,0.0
68,2016,0,0,0.0,0.0,0.0,0.0
69,2020,34,41,20.588235294,0.118188107,0.136208099,15.246874737
70,2050,1,0,-100.0,0.059312,0.0,-100.0
71,2060,0,0,0.0,0.0,0.0,0.0
72,2068,0,0,0.0,0.0,0.0,0.0
73,2070,0,0,0.0,0.0,0.0,0.0
74,2090,8,11,37.5,0.084000084,0.110711877,31.799722214
75,2100,0,0,0.0,0.0,0.0,0.0
76,2105,0,0,0.0,0.0,0.0,0.0
77,2110,7,9,28.571428571,0.226852902,0.277726347,22.425741265
78,2122,9,10,11.111111111,0.164245565,0.173982637,5.928361683
79,2130,5,3,-40.0,0.376109523,0.217596286,-42.145499383
80,2150,0,0,0.0,0.0,0.0,0.0
81,2164,0,0,0.0,0.0,0.0,0.0
