county_fips,PCT_obese_adults_2008,PCT_obese_adults_2013,PCT_obese_adults_average,PCT_obese_adults_change
1001,31.5,34.1,32.8,2.6
1003,26.2,27.4,26.8,1.2
1005,37.6,44.4,41.0,6.8
1007,32.3,40.3,36.3,8.0
1009,31.9,34.6,33.25,2.7
1011,37.8,43.0,40.4,5.2
1013,36.8,36.3,36.55,-0.5
1015,33.5,32.2,32.85,-1.3
1017,35.5,39.7,37.6,4.2
1019,31.5,33.6,32.55,2.1
1021,34.8,35.9,35.35,1.1
1023,36.5,40.8,38.65,4.3
1025,36.0,38.2,37.1,2.2
1027,32.2,37.3,34.75,5.1
1029,28.8,30.0,29.4,1.2
1031,32.7,33.7,33.2,1.0
1033,34.7,37.5,36.1,2.8
1035,32.1,36.4,34.25,4.3
1037,33.2,39.7,36.45,6.5
1039,33.8,34.0,33.9,0.2
1041,33.6,39.7,36.65,6.1
1043,30.1,33.4,31.75,3.3
1045,34.4,36.5,35.45,2.1
1047,39.9,40.8,40.35,0.9
1049,31.7,30.4,31.05,-1.3
1051,29.0,35.4,32.2,6.4
1053,34.4,37.7,36.05,3.3
1055,30.8,35.1,32.95,4.3
1057,32.3,33.7,33.0,1.4
1059,29.5,33.2,31.35,3.7
1061,32.0,34.1,33.05,2.1
1063,43.7,46.3,45.0,2.6
1065,40.2,40.4,40.3,0.2
1067,33.8,35.8,34.8,2.0
1069,33.2,32.8,33.0,-0.4
1071,31.6,32.0,31.8,0.4
1073,31.4,33.2,32.3,1.8
1075,30.8,33.6,32.2,2.8
1077,29.1,32.9,31.0,3.8
1079,32.8,35.5,34.15,2.7
1081,30.1,29.0,29.55,-1.1
1083,29.1,32.9,31.0,3.8
1085,40.6,45.1,42.85,4.5
1087,40.0,44.7,42.35,4.7
1089,30.6,32.3,31.45,1.7
1091,37.6,40.3,38.95,2.7
1093,28.6,35.5,32.05,6.9
1095,26.5,33.2,29.85,6.7
1097,30.3,37.1,33.7,6.8
1099,35.4,35.3,35.35,-0.1
1101,34.0,34.8,34.4,0.8
1103,34.8,31.6,33.2,-3.2
1105,40.7,43.0,41.85,2.3
1107,34.8,36.4,35.6,1.6
1109,35.1,38.4,36.75,3.3
1111,31.9,30.9,31.4,-1.0
1113,36.7,36.4,36.55,-0.3
1115,33.7,33.0,33.35,-0.7
1117,28.4,30.1,29.25,1.7
1119,40.8,40.3,40.55,-0.5
1121,34.0,39.0,36.5,5.0
1123,33.9,36.9,35.4,3.0
1125,33.1,34.3,33.7,1.2
1127,33.1,33.2,33.15,0.1
1129,34.9,40.2,37.55,5.3
1131,40.8,44.9,42.85,4.1
