county_fips,PCT_poverty_rate_2015,PCT_poverty_rate_2015_children
1001,12.7,18.8
1003,12.9,19.6
1005,32.0,45.2
1007,22.2,29.3
1009,14.7,22.2
1011,39.6,51.2
1013,25.8,36.0
1015,20.0,30.7
1017,22.4,34.4
1019,19.4,30.2
1021,20.2,28.1
1023,24.4,33.5
1025,22.2,30.9
1027,18.4,27.3
1029,18.9,27.7
1031,16.2,23.7
1033,18.1,26.9
1035,28.3,41.0
1037,20.3,32.2
1039,22.3,34.1
1041,19.9,29.6
1043,19.4,24.7
1045,18.5,29.0
1047,34.6,50.1
1049,20.6,28.9
1051,14.0,19.9
1053,24.4,32.0
1055,19.0,30.7
1057,20.4,29.4
1059,21.1,32.4
1061,22.4,34.8
1063,37.7,54.7
1065,28.5,38.6
1067,17.0,27.5
1069,18.3,29.5
1071,18.4,26.9
1073,18.0,26.2
1075,24.7,33.8
1077,17.3,23.9
1079,18.7,26.4
1081,21.0,20.7
1083,14.3,18.8
1085,35.2,46.7
1087,32.2,46.1
1089,13.3,19.1
1091,23.3,34.8
1093,19.8,30.4
1095,20.1,32.7
1097,18.4,26.9
1099,28.6,35.7
1101,22.8,33.8
1103,16.4,24.0
1105,40.0,54.4
1107,24.3,35.3
1109,25.9,36.0
1111,18.7,31.7
1113,23.0,36.3
1115,12.4,17.5
1117,8.5,10.2
1119,33.2,44.2
1121,22.4,31.1
1123,21.7,34.5
1125,20.0,25.1
1127,20.6,31.1
1129,22.4,31.5
1131,33.2,49.2
1133,18.9,29.3
2013,17.4,15.5
2016,8.5,8.5
2020,8.7,12.4
2050,24.2,31.5
2060,9.0,8.6
2068,6.6,10.2
2070,20.0,30.4
2090,8.1,10.1
2100,10.9,20.2
2105,16.2,29.2
2110,8.0,10.1
2122,11.4,14.0
2130,10.3,14.4
2150,7.5,9.3
2164,19.3,31.4
2170,9.8,11.8
2180,21.4,27.6
2185,12.6,17.6
2188,26.3,34.9
2195,7.9,10.3
2198,15.6,23.8
2220,9.2,10.4
2230,3.7,6.3
2240,13.5,21.4
2261,9.5,12.2
2270,,
2275,12.0,16.0
2282,15.4,26.1
2290,23.4,34.4
4001,38.0,44.7
4003,16.9,25.7
4005,19.5,20.7
4007,21.3,36.6
4009,22.9,26.9
4011,10.1,11.3
4012,22.2,36.9
4013,16.3,23.0
4015,17.4,29.8
4017,28.1,36.7
4019,18.7,27.7
4021,15.8,21.6
4023,24.4,36.7
4025,15.1,23.4
4027,21.1,30.8
5001,20.7,30.5
5003,19.6,31.2
5005,16.4,28.5
5007,10.8,15.3
5009,16.5,25.1
5011,28.0,40.2
5013,16.7,23.1
5015,16.6,27.7
5017,31.4,43.2
5019,22.5,28.2
5021,20.8,27.9
5023,15.6,24.7
5025,18.1,25.9
5027,23.8,32.8
5029,17.8,29.1
5031,17.3,24.3
5033,14.4,22.5
5035,25.9,37.3
5037,21.5,31.8
5039,21.3,35.9
5041,30.9,45.7
5043,21.2,29.3
5045,14.8,17.0
5047,18.2,26.9
5049,19.4,34.2
5051,19.3,28.2
5053,13.2,18.8
5055,17.1,24.9
5057,24.1,34.1
5059,20.8,28.1
5061,18.7,30.7
5063,18.0,26.8
5065,19.8,31.4
5067,27.5,39.7
5069,26.5,37.8
5071,21.8,29.1
5073,22.7,36.3
5075,23.7,33.5
5077,35.9,48.7
5079,25.1,27.4
5081,19.9,28.2
5083,20.5,30.5
5085,11.9,16.7
5087,18.8,29.1
5089,18.8,34.7
5091,22.3,31.5
5093,26.3,37.6
5095,30.9,46.7
5097,21.8,34.8
5099,24.0,35.6
5101,24.2,37.1
5103,22.8,35.1
5105,16.8,25.9
5107,37.3,56.4
5109,18.5,30.2
5111,23.9,36.6
5113,24.4,32.4
5115,20.8,24.6
5117,19.6,28.5
5119,19.4,27.7
5121,17.6,27.4
5123,30.7,44.3
5125,10.7,15.3
5127,20.8,34.7
5129,22.2,39.1
5131,22.1,29.9
5133,20.8,32.2
5135,24.6,39.2
5137,21.5,36.3
5139,19.7,27.0
5141,19.0,29.6
5143,16.9,21.3
5145,19.7,24.2
5147,25.8,39.3
5149,17.8,27.6
6001,11.5,13.8
6003,19.0,35.7
6005,13.1,19.5
6007,21.4,23.8
6009,13.0,21.2
6011,13.2,19.4
6013,10.2,12.7
6015,23.3,33.8
6017,9.1,11.6
6019,25.2,36.3
6021,18.5,25.7
6023,20.9,23.0
6025,24.3,31.4
6027,12.4,19.9
6029,21.9,31.3
6031,22.4,28.4
6033,20.5,30.2
6035,17.1,19.7
6037,16.7,23.5
6039,22.6,32.3
6041,7.5,8.8
6043,15.2,24.1
6045,20.3,27.3
6047,25.9,35.9
6049,20.3,31.1
6051,11.2,17.3
6053,15.3,22.3
6055,10.1,12.1
6057,12.4,16.4
6059,12.7,16.8
6061,8.6,9.0
6063,13.8,22.5
6065,16.2,22.6
6067,16.9,22.7
6069,9.3,14.0
6071,18.9,27.3
6073,13.9,17.8
6075,12.4,13.5
6077,17.5,23.7
6079,14.4,14.6
6081,8.4,9.7
6083,15.6,20.0
6085,8.3,9.0
6087,15.4,17.6
6089,19.0,26.5
6091,13.8,17.4
6093,22.6,31.4
6095,12.0,15.8
6097,11.0,14.0
6099,19.5,26.6
6101,17.5,24.4
6103,22.5,32.1
6105,19.7,32.1
6107,27.2,36.3
6109,14.5,21.6
6111,9.9,14.3
6113,17.5,16.8
6115,21.6,31.7
8001,12.8,17.3
8003,24.0,30.2
8005,9.2,12.2
8007,13.1,25.4
8009,20.8,32.1
8011,36.7,40.3
8013,12.3,10.9
8014,4.9,5.8
8015,11.7,17.5
8017,11.7,17.3
8019,9.6,14.3
8021,20.2,29.9
8023,28.2,43.3
8025,44.3,38.5
8027,15.1,32.8
